Show Code,Date,People,Media Type,URL,Title,Desc
169,6/29/1999,Scott Wolf,4,http://www.cc.com/episodes/7rif42/the-daily-show-with-jon-stewart-june-29--1999---scott-wolf-season-3-ep-03155,,
169,6/30/1999,Roseanne Barr,4,http://www.cc.com/episodes/zjarpk/the-daily-show-with-jon-stewart-june-30--1999---roseanne-barr-season-3-ep-03156,,
169,7/1/1999,Rob Schneider,4,http://www.cc.com/episodes/us8to9/the-daily-show-with-jon-stewart-july-1--1999---rob-schneider-season-3-ep-03157,,
169,7/12/1999,Adam Arkin,4,http://www.cc.com/episodes/gj0cr4/the-daily-show-with-jon-stewart-july-12--1999---adam-arkin-season-4-ep-04001,,
169,7/13/1999,Miss Piggy,4,http://www.cc.com/episodes/v1mhae/the-daily-show-with-jon-stewart-july-13--1999---miss-piggy-season-4-ep-04002,,
169,7/14/1999,John Leguizamo,4,http://www.cc.com/episodes/gb4i5f/the-daily-show-with-jon-stewart-july-14--1999---john-leguizamo-season-4-ep-04003,,
169,7/15/1999,Robert Klein,4,http://www.cc.com/episodes/e7vl7p/the-daily-show-with-jon-stewart-july-15--1999---robert-klein-season-4-ep-04004,,
169,7/19/1999,Christa Miller,4,http://www.cc.com/episodes/o40ocp/the-daily-show-with-jon-stewart-july-19--1999---christa-miller-season-4-ep-04005,,
169,7/20/1999,David Brenner,4,http://www.cc.com/episodes/warwwn/the-daily-show-with-jon-stewart-july-20--1999---david-brenner-season-4-ep-04006,,
169,7/22/1999,Joely Fisher,4,http://www.cc.com/episodes/bwpkul/the-daily-show-with-jon-stewart-july-22--1999---joely-fisher-season-4-ep-04008,,
169,7/26/1999,Donny Osmond,4,http://www.cc.com/episodes/r3v1c1/the-daily-show-with-jon-stewart-july-26--1999---donny-osmond-season-4-ep-04009,,
169,7/27/1999,Wendie Malick,4,http://www.cc.com/episodes/3a0uv0/the-daily-show-with-jon-stewart-july-27--1999---wendie-malick-season-4-ep-04010,,
169,7/28/1999,Vince Neil,4,http://www.cc.com/episodes/zliy5w/the-daily-show-with-jon-stewart-july-28--1999---vince-neil-season-4-ep-04011,,
169,7/29/1999,Janeane Garofalo,4,http://www.cc.com/episodes/tui7b0/the-daily-show-with-jon-stewart-july-29--1999---janeane-garofalo-season-4-ep-04012,,
169,8/2/1999,Bebe Neuwirth,4,http://www.cc.com/episodes/ud3vw5/the-daily-show-with-jon-stewart-august-2--1999---bebe-neuwirth-season-4-ep-04013,,
169,8/3/1999,Garry Marshall,4,http://www.cc.com/episodes/wu9li3/the-daily-show-with-jon-stewart-august-3--1999---garry-marshall-season-4-ep-04014,,
169,8/4/1999,Denis Leary,4,http://www.cc.com/episodes/uofzda/the-daily-show-with-jon-stewart-august-4--1999---denis-leary-season-4-ep-04015,,
169,8/5/1999,Jeffrey Tambor,4,http://www.cc.com/episodes/awhlpw/the-daily-show-with-jon-stewart-august-5--1999---jeffrey-tambor-season-4-ep-04016,,
169,8/9/1999,Dave Foley,4,http://www.cc.com/episodes/haa6o2/the-daily-show-with-jon-stewart-august-9--1999---dave-foley-season-4-ep-04017,,
169,8/10/1999,Dom Irrera,4,http://www.cc.com/episodes/4l8fhf/the-daily-show-with-jon-stewart-august-10--1999---dom-irrera-season-4-ep-04018,,
169,8/11/1999,Pierce Brosnan,4,http://www.cc.com/episodes/dzffg5/the-daily-show-with-jon-stewart-august-11--1999---pierce-brosnan-season-4-ep-04019,,
169,8/12/1999,Daniel Myrick | Ed Sanchez,4,http://www.cc.com/episodes/t02ich/the-daily-show-with-jon-stewart-august-12--1999---daniel-myrick---ed-sanchez-season-4-ep-04020,,
169,8/16/1999,Carson Daly,4,http://www.cc.com/episodes/mviusx/the-daily-show-with-jon-stewart-august-16--1999---carson-daly-season-4-ep-04021,,
169,8/17/1999,Molly Ringwald,4,http://www.cc.com/episodes/0hztxp/the-daily-show-with-jon-stewart-august-17--1999---molly-ringwald-season-4-ep-04022,,
169,8/18/1999,Sarah Jessica Parker,4,http://www.cc.com/episodes/elz8dz/the-daily-show-with-jon-stewart-august-18--1999---sarah-jessica-parker-season-4-ep-04023,,
169,8/19/1999,French Stewart,4,http://www.cc.com/episodes/8rldb0/the-daily-show-with-jon-stewart-august-19--1999---french-stewart-season-4-ep-04024,,
169,8/23/1999,Cheryl Ladd,4,http://www.cc.com/episodes/ziesyz/the-daily-show-with-jon-stewart-august-23--1999---cheryl-ladd-season-4-ep-04025,,
169,8/24/1999,LL Cool J,4,http://www.cc.com/episodes/h7dzhh/the-daily-show-with-jon-stewart-august-24--1999---ll-cool-j-season-4-ep-04026,,
169,8/25/1999,Dwight Yoakam,4,http://www.cc.com/episodes/95ba89/the-daily-show-with-jon-stewart-august-25--1999---dwight-yoakam-season-4-ep-04027,,
169,8/26/1999,Nia Long,4,http://www.cc.com/episodes/k3x3uu/the-daily-show-with-jon-stewart-august-26--1999---nia-long-season-4-ep-04028,,
169,9/13/1999,Elayne Boosler,4,http://www.cc.com/episodes/xezhbb/the-daily-show-with-jon-stewart-september-13--1999---elayne-boosler-season-4-ep-04029,,
169,9/14/1999,Tom Green,4,http://www.cc.com/episodes/t0oq7k/the-daily-show-with-jon-stewart-september-14--1999---tom-green-season-4-ep-04030,,
169,9/15/1999,Jason Priestley,4,http://www.cc.com/episodes/g0y19x/the-daily-show-with-jon-stewart-september-15--1999---jason-priestley-season-4-ep-04031,,
169,9/16/1999,David Cross,4,http://www.cc.com/episodes/a1c63n/the-daily-show-with-jon-stewart-september-16--1999---david-cross-season-4-ep-04032,,
169,9/20/1999,Andy Richter,4,http://www.cc.com/episodes/ci3k4b/the-daily-show-with-jon-stewart-september-20--1999---andy-richter-season-4-ep-04033,,
169,9/21/1999,Donnie Osmond | Marie Osmond,4,http://www.cc.com/episodes/e3y7ki/the-daily-show-with-jon-stewart-september-21--1999---donnie-osmond---marie-osmond-season-4-ep-04034,,
169,9/22/1999,Dave Chappelle,4,http://www.cc.com/episodes/gwednc/the-daily-show-with-jon-stewart-september-22--1999---dave-chappelle-season-4-ep-04035,,
169,9/23/1999,Steve Zahn,4,http://www.cc.com/episodes/3a3ofm/the-daily-show-with-jon-stewart-september-23--1999---steve-zahn-season-4-ep-04036,,
169,9/27/1999,Norm Macdonald,4,http://www.cc.com/episodes/48o13z/the-daily-show-with-jon-stewart-september-27--1999---norm-macdonald-season-4-ep-04037,,
169,9/28/1999,Melissa Joan Hart,4,http://www.cc.com/episodes/fngh3q/the-daily-show-with-jon-stewart-september-28--1999---melissa-joan-hart-season-4-ep-04038,,
169,9/29/1999,Richard Lewis,4,http://www.cc.com/episodes/n5klzg/the-daily-show-with-jon-stewart-september-29--1999---richard-lewis-season-4-ep-04039,,
169,9/30/1999,Bruce McCulloch | Mark McKinney,4,http://www.cc.com/episodes/2vxbiz/the-daily-show-with-jon-stewart-september-30--1999---bruce-mcculloch---mark-mckinney-season-4-ep-04040,,
169,10/4/1999,Greg Proops,4,http://www.cc.com/episodes/hykko8/the-daily-show-with-jon-stewart-october-4--1999---greg-proops-season-4-ep-04041,,
169,10/5/1999,Maury Povich,4,http://www.cc.com/episodes/ssjo2o/the-daily-show-with-jon-stewart-october-5--1999---maury-povich-season-4-ep-04042,,
169,10/6/1999,Brooke Shields,4,http://www.cc.com/episodes/d1zmdp/the-daily-show-with-jon-stewart-october-6--1999---brooke-shields-season-4-ep-04043,,
169,10/7/1999,Molly Shannon,4,http://www.cc.com/episodes/2jg5iw/the-daily-show-with-jon-stewart-october-7--1999---molly-shannon-season-4-ep-04044,,
169,10/18/1999,Rebecca Gayheart,4,http://www.cc.com/episodes/1g18k7/the-daily-show-with-jon-stewart-october-18--1999---rebecca-gayheart-season-4-ep-04045,,
169,10/19/1999,Steven Wright,4,http://www.cc.com/episodes/klkq2o/the-daily-show-with-jon-stewart-october-19--1999---steven-wright-season-4-ep-04046,,
169,10/20/1999,Amy Brenneman,4,http://www.cc.com/episodes/m65fb4/the-daily-show-with-jon-stewart-october-20--1999---amy-brenneman-season-4-ep-04047,,
169,10/21/1999,Melissa Gilbert,4,http://www.cc.com/episodes/f48rg3/the-daily-show-with-jon-stewart-october-21--1999---melissa-gilbert-season-4-ep-04048,,
169,10/25/1999,Cathy Moriarty,4,http://www.cc.com/episodes/6a1a1v/the-daily-show-with-jon-stewart-october-25--1999---cathy-moriarty-season-4-ep-04049,,
169,10/26/1999,Louie Anderson,4,http://www.cc.com/episodes/uwktz7/the-daily-show-with-jon-stewart-october-26--1999---louie-anderson-season-4-ep-04050,,
169,10/27/1999,Sarah Michelle Gellar,4,http://www.cc.com/episodes/hkvswv/the-daily-show-with-jon-stewart-october-27--1999---sarah-michelle-gellar-season-4-ep-04051,,
169,10/28/1999,Melanie C,4,http://www.cc.com/episodes/gbib8z/the-daily-show-with-jon-stewart-october-28--1999---melanie-c-season-4-ep-04052,,
169,11/1/1999,Chris O'Donnell,4,http://www.cc.com/episodes/fiigc0/the-daily-show-with-jon-stewart-november-1--1999---chris-o-donnell-season-4-ep-04053,,
169,11/2/1999,Jennifer Love Hewitt,4,http://www.cc.com/episodes/4nhk6w/the-daily-show-with-jon-stewart-november-2--1999---jennifer-love-hewitt-season-4-ep-04054,,
169,11/3/1999,Dave Grohl,4,http://www.cc.com/episodes/kidn72/the-daily-show-with-jon-stewart-november-3--1999---dave-grohl-season-4-ep-04055,,
169,11/4/1999,Roshumba,4,http://www.cc.com/episodes/qccv98/the-daily-show-with-jon-stewart-november-4--1999---roshumba-season-4-ep-04056,,
169,11/8/1999,Kellie Martin,4,http://www.cc.com/episodes/nlxt4o/the-daily-show-with-jon-stewart-november-8--1999---kellie-martin-season-4-ep-04057,,
169,11/9/1999,Kathy Griffin,4,http://www.cc.com/episodes/hmc8ih/the-daily-show-with-jon-stewart-november-9--1999---kathy-griffin-season-4-ep-04058,,
169,11/15/1999,Christina Ricci,4,http://www.cc.com/episodes/6bk49c/the-daily-show-with-jon-stewart-november-15--1999---christina-ricci-season-4-ep-04059,,
169,11/16/1999,Tori Amos,4,http://www.cc.com/episodes/5a2xdi/the-daily-show-with-jon-stewart-november-16--1999---tori-amos-season-4-ep-04060,,
169,11/17/1999,Yasmine Bleeth,4,http://www.cc.com/episodes/y9q15b/the-daily-show-with-jon-stewart-november-17--1999---yasmine-bleeth-season-4-ep-04061,,
169,11/18/1999,Bill Maher,4,http://www.cc.com/episodes/8qtkvi/the-daily-show-with-jon-stewart-november-18--1999---bill-maher-season-4-ep-04062,,
169,11/29/1999,Goo Goo Dolls,4,http://www.cc.com/episodes/ymh3eg/the-daily-show-with-jon-stewart-november-29--1999---goo-goo-dolls-season-4-ep-04063,,
169,11/30/1999,Stephen Rea,4,http://www.cc.com/episodes/d639i1/the-daily-show-with-jon-stewart-november-30--1999---stephen-rea-season-4-ep-04064,,
169,12/1/1999,Laura San Giacomo,4,http://www.cc.com/episodes/nl5pew/the-daily-show-with-jon-stewart-december-1--1999---laura-san-giacomo-season-4-ep-04065,,
169,12/2/1999,Michal Boatman,4,http://www.cc.com/episodes/q385fp/the-daily-show-with-jon-stewart-december-2--1999---michal-boatman-season-4-ep-04066,,
169,12/6/1999,Paul Rudd,4,http://www.cc.com/episodes/ulf3hh/the-daily-show-with-jon-stewart-december-6--1999---paul-rudd-season-4-ep-04067,,
169,12/8/1999,Bob Dole,4,http://www.cc.com/episodes/8i3b2l/the-daily-show-with-jon-stewart-december-7--1999---bob-dole-season-4-ep-04068,,
169,12/9/1999,Rob Schneider,4,http://www.cc.com/episodes/10bd4p/the-daily-show-with-jon-stewart-december-9--1999---rob-schneider-season-4-ep-04070,,
169,12/9/1999,Bob Dole,4,http://www.cc.com/episodes/rcxwob/the-daily-show-with-jon-stewart-december-8--1999---bob-dole-season-4-ep-04069,,
169,12/13/1999,Joan Lunden,4,http://www.cc.com/episodes/qacnmt/the-daily-show-with-jon-stewart-december-13--1999---joan-lunden-season-4-ep-04071,,
169,12/14/1999,Shannen Doherty,4,http://www.cc.com/episodes/b86shj/the-daily-show-with-jon-stewart-december-14--1999---shannen-doherty-season-4-ep-04072,,
169,12/16/1999,George Carlin,4,http://www.cc.com/episodes/6hhtu7/the-daily-show-with-jon-stewart-december-16--1999---george-carlin-season-4-ep-04073,,
169,12/20/1999,David Boreanaz,4,http://www.cc.com/episodes/gj0l27/the-daily-show-with-jon-stewart-december-20--1999---david-boreanaz-season-4-ep-04074,,
169,12/21/1999,Jewel,4,http://www.cc.com/episodes/j6h07a/the-daily-show-with-jon-stewart-december-21--1999---jewel-season-4-ep-04075,,
169,1/4/2000,Cynthia Nixon,4,http://www.cc.com/episodes/7y4d54/the-daily-show-with-jon-stewart-january-4--2000---cynthia-nixon-season-4-ep-04076,,
169,1/5/2000,Robbie Williams,4,http://www.cc.com/episodes/mfohgd/the-daily-show-with-jon-stewart-january-5--2000---robbie-williams-season-4-ep-04077,,
169,1/6/2000,Richard Belzer,4,http://www.cc.com/episodes/diczdo/the-daily-show-with-jon-stewart-january-6--2000---richard-belzer-season-4-ep-04078,,
169,1/10/2000,Joe Montana,4,http://www.cc.com/episodes/nr7c2o/the-daily-show-with-jon-stewart-january-10--2000---joe-montana-season-4-ep-04079,,
169,1/11/2000,Will Ferrell,4,http://www.cc.com/episodes/vnmz9i/the-daily-show-with-jon-stewart-january-11--2000---will-ferrell-season-4-ep-04080,,
169,1/12/2000,Ice Cube,4,http://www.cc.com/episodes/rdmhbh/the-daily-show-with-jon-stewart-january-12--2000---ice-cube-season-4-ep-04081,,
169,1/13/2000,Michael Stipe,4,http://www.cc.com/episodes/0kjox4/the-daily-show-with-jon-stewart-january-13--2000---michael-stipe-season-4-ep-04082,,
169,1/17/2000,Penelope Ann Miller,4,http://www.cc.com/episodes/rah3ig/the-daily-show-with-jon-stewart-january-17--2000---penelope-ann-miller-season-4-ep-04083,,
169,1/18/2000,Frankie Muniz,4,http://www.cc.com/episodes/80b82z/the-daily-show-with-jon-stewart-january-18--2000---frankie-muniz-season-4-ep-04084,,
169,1/19/2000,Freddie Prinze Jr.,4,http://www.cc.com/episodes/47zg46/the-daily-show-with-jon-stewart-janurary-19--2000---freddie-prinze--jr--season-4-ep-04085,,
169,1/20/2000,Jerry Springer,4,http://www.cc.com/episodes/05vlwm/the-daily-show-with-jon-stewart-january-20--2000---jerry-springer-season-4-ep-04086,,
169,1/24/2000,Selma Blair,4,http://www.cc.com/episodes/7cxx8r/the-daily-show-with-jon-stewart-january-24--2000---selma-blair-season-4-ep-04087,,
169,1/25/2000,Peter Krause,4,http://www.cc.com/episodes/mffqne/the-daily-show-with-jon-stewart-january-25--2000---peter-krause-season-4-ep-04088,,
