Show,Date,Person,Media Type,Media Value,,Title,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Annie Lennox OBE,1,pKgeRJHGKvg,,Beyond Ourselves,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Imogen Heap,1,rIMABCLiLIo,,Beyond the Rational,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Bernard Kouchner,1,aKmgLXXwFu8,,On Revolutions and Politics,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Stephanie Flanders,1,uCK4GnxbchY,,Beyond the Euro Crisis,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Peter Diamandis,1,CIU8D0ifoI0,,Technology Spurs Technology,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Paul Conroy,1,C6UB4kI5J6A,,On Juxtaposing Text and Picutres,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Clare Balding,1,idAFehpCmu0,,Pushing Your Potential,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Jon Snow,1,ftLHXB4TZo0,,Beyond the Rational,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Marco Tempest,1,ZBWnyZW1AXE,,Technological Illusions,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Ranulph Fiennes Bt. OBE,1,3K_9SrHIcQ0,,Exploring with the Flow,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Matt Ridley,1,0g8U0rzhzLc,,Beyond the Rational,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Srdja Popovic,1,3JmoztGxpoU,,Beyond the Revolution,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Nikesh Arora,1,5dnLpRa-yBo,,Welcome to Zeitgeist 2012,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Laurie Santos,1,oNSjvqSo6dk,,Beyond the Rational,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Evgeny Lebedev,1,t0iDPGjUbLQ,,The Freedom of Speech,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Stephanie Flanders,1,zfYGCswLPng,,Beyond the Euro Crisis,,,,,,,,,,,,,,,,,,,,,
219,5/1/12,Ahmed Shihab-Eldin,1,SqYI7xPnBpY,,Social News,,,,,,,,,,,,,,,,,,,,,
