Show Code,Date,People,Media Type,Media Code,Media URL,Media Title,
199,8/11/11,Stan Slap,1,https://www.youtube.com/watch?v=zd5ZR9zudi4&index=343&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Stan Slap: ""Bury My Heart at Conference Room B"" | Talks at Google",
199,10/12/11,Alton Brown,1,https://www.youtube.com/watch?v=ZzzVdhyKjww&index=353&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Alton Brown: ""Good Eats 3, the Later Years"" | Talks at Google",
199,11/6/11,Marissa Mayer|Martha Stewart,1,https://www.youtube.com/watch?v=FfGXXBVvILY&index=342&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,Martha Stewart in Conversation with Marissa Mayer | Talks at Google,
199,12/25/11,Kyle Johnson,1,https://www.youtube.com/watch?v=ginQNMiRu2w&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=176,,"Kyle Johnson: ""Inception and Philosophy"" | Talks at Google",
199,2/1/12,Kelly McGonigal,1,https://www.youtube.com/watch?v=V5BXuZL1HAg&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=177,,"Kelly McGonigal: ""The Willpower Instinct"" | Talks at Google",
199,5/24/12,Leonard Mlodinow,1,https://www.youtube.com/watch?v=NJ-IfVHJH58&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=107,,"Leonard Mlodinow, ""Subliminal: How Your Unconscious Mind Rules Your Behavior"", Authors at Google",
199,8/22/12,Cory Doctorow,1,https://www.youtube.com/watch?v=gbYXBJOFgeI&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=106,,"Cory Doctorow: ""The Coming Civil War over General-purpose Computing"", Talks at Google",
199,12/6/12,Tim Ferriss,1,https://www.youtube.com/watch?v=gj3RskVvVLA&index=355&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Tim Ferriss: ""The Four-Hour Chef"" | Talks at Google",
199,12/11/12,Stephen Colbert,1,https://www.youtube.com/watch?v=rlXRWdjhefs&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=105,,"Stephen Colbert | ""American Again: Re-Becoming the Greatness We Never Weren't""",
199,3/4/13,Toni Morrison,1,https://www.youtube.com/watch?v=pBDARw5fdrg&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ&index=104,,"Toni Morrison | ""Home"" Authors at Google",
199,7/19/13,Dr. Lissa Rankin,1,https://www.youtube.com/watch?v=gcai0i2tJt0&index=351&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Dr. Lissa Rankin: ""Mind Over Medicine: Scientific Proof You Can Heal Yourself"" | Talks at Google",
199,9/30/13,Thomas Huynh,1,https://www.youtube.com/watch?v=lH_G2r-j3gQ&index=41&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,Authors@Google: Thomas Huynh,
199,10/3/13,Richard Montañez,1,https://www.youtube.com/watch?v=JCcrlc0kme8&index=37&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Richard Montañez: ""A Boy, A Burrito, and a Cookie"" | Authors at Google",
199,10/3/13,Ruby Wax,1,https://www.youtube.com/watch?v=sz84BrEfkJs&index=39&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Authors at Google Talk | Ruby Wax | Sane New World | London, UK",
199,10/7/13,Shirzad Chamine,1,https://www.youtube.com/watch?v=ta5IkSsc8qk&index=38&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Shirzad Chamine, ""Positive Intelligence"" | Authors at Google",
199,10/7/13,Prasad Kaipa,1,https://www.youtube.com/watch?v=rjsAHCpCoMU&index=40&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Prasad Kaipa: ""From Smart to Wise: Acting and Leading with Wisdom"" | Authors at Google",
199,10/7/13,Kim Stanley Robinson,1,https://www.youtube.com/watch?v=1jn0ZU17wgU&index=42&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Kim Stanley Robinson, ""Shaman"" | Authors at Google",
199,10/16/13,Lawrence Freedman,1,https://www.youtube.com/watch?v=-R7kjNT8hkI&index=35&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Lawrence Freedman, ""Strategy: A History"" | Authors at Google",
199,10/18/13,Nataly Kelly,1,https://www.youtube.com/watch?v=m46fi_E30iI&index=34&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Michael Erard & Nataly Kelly, Polyglots vs. Translators | Authors at Google",
199,10/20/13,Robin Sloan,1,https://www.youtube.com/watch?v=DBBhA_j_CIA&index=32&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Robin Sloan, ""Mr. Penumbra's 24-Hour Bookstore"" | Authors at Google",
199,10/21/13,Tom Standage,1,https://www.youtube.com/watch?v=7J0I1V5XNKI&index=31&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Tom Standage, ""Social Media: A Historical Perspective"" | Authors at Google",
199,10/26/13,Dean Stiglitz,1,https://www.youtube.com/watch?v=aW31_UU3syE&index=36&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Dean Stiglitz, ""Complete Idiot's Guide to Beekeeping"" | Authors at Google",
199,10/29/13,Robert W. McChesney,1,https://www.youtube.com/watch?v=JUWPUtm0Q-o&index=30&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"John Nichols & Robert W. McChesney, ""Dollarocracy"" | Authors at Google",
199,10/30/13,Brad Stone,1,https://www.youtube.com/watch?v=vVZpqCkA00g&index=29&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Brad Stone, ""The Everything Store: Jeff Bezos and the Age of Amazon"" | Authors at Google",
199,10/31/13,Glenn Hubbard,1,https://www.youtube.com/watch?v=54o2aTVXdHg&index=28&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Glenn Hubbard, ""Balance"" | Authors at Google",
199,10/31/13,Max Boot,1,https://www.youtube.com/watch?v=Pvi0lTNHYh8&index=33&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Max Boot, ""Invisible Armies"" | Authors at Google",
199,11/5/13,Allie Brosh,1,https://www.youtube.com/watch?v=s_LOCS2weNw&index=13&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Allie Brosh, ""Hyperbole and a Half"" | Talks at Google",
199,11/18/13,Margaret Wertheim,1,https://www.youtube.com/watch?v=099e1FxYL_E&index=26&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,Margaret Wertheim | Authors at Google,
199,11/18/13,Michael Pollan,1,https://www.youtube.com/watch?v=lVyo712BBRk&index=27&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Michael Pollan, ""Cooked: A Natural History of Transformation"" | Authors at Google",
199,11/23/13,David Kirp,1,https://www.youtube.com/watch?v=p19nluqrdoo&index=24&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"David Kirp, ""Improbable Scholars"" | Authors at Google",
199,11/24/13,Donnie Eichar,1,https://www.youtube.com/watch?v=yrnyAWu5j4w&index=23&list=PLGGpadyh0wS589np9dre-nOeGfzRfutmQ,,"Donnie Eichar, ""Dead Mountain"" | Authors at Google",
